ID,#名前,性別(0=両,1=男,2=女),タイプ(0=両方,1=剣士,2=ガンナー),レア度,スロット数,入手時期／集☆（99=集入手不可）,入手時期／村☆（99=村入手不可）,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,e
16,ジャギィレギンス,0,2,2,1,1,2,5,57,-1,1,1,1,2,装填速度,2,効果持続,-1,気絶,3,,,,,ジャギィの皮,4,ジャギィの鱗,3,竜骨【小】,4,マカライト鉱石,2,e
17,ゲネポスグリーヴ,0,1,2,1,2,3,12,102,1,1,-2,-3,2,特殊攻撃,1,麻痺,2,,,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,2,鉄鉱石,4,,,e
18,ゲネポスレギンス,0,2,2,1,2,3,6,57,2,2,-1,-2,3,特殊攻撃,1,麻痺,2,,,,,,,ドスゲネポスの皮,2,ゲネポスの鱗,2,鉄鉱石,4,,,e
19,ランポスグリーヴ,0,1,2,1,1,2,13,103,0,0,0,-4,2,攻撃,3,気絶,3,,,,,,,ランポスの皮,2,ランポスの鱗,3,竜骨【小】,4,鉄鉱石,4,e
20,ランポスレギンス,0,2,2,1,1,2,7,58,1,1,1,-3,3,攻撃,3,気絶,3,,,,,,,ランポスの皮,2,ランポスの鱗,3,竜骨【小】,4,鉄鉱石,4,e
21,アシラグリーヴ,0,1,2,0,99,3,13,103,-2,1,0,-1,1,胴系統倍化,1,,,,,,,,,青熊獣の毛,2,飛甲虫の甲殻,2,光蟲,1,,,e
22,アシラレギンス,0,2,2,0,99,3,7,58,-1,2,1,0,2,胴系統倍化,1,,,,,,,,,青熊獣の毛,2,飛甲虫の甲殻,2,光蟲,1,,,e
23,ハイメタグリーヴ,0,1,2,1,2,4,14,102,-2,-2,3,-1,0,砲術,4,体力,2,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,3,ランポスの鱗,3,e
24,ハイメタレギンス,0,2,2,1,2,4,7,58,-1,-1,4,0,1,砲術,4,体力,2,スタミナ,-1,,,,,ドラグライト鉱石,3,マカライト鉱石,2,鉄鉱石,3,ランポスの鱗,3,e
25,バトルグリーヴ,0,1,2,1,3,5,14,102,2,-2,-2,-1,0,攻撃,4,聴覚保護,-1,研ぎ師,2,,,,,縞模様の皮,1,暖かい毛皮,1,イーオスの鱗,5,大地の結晶,3,e
26,バトルレギンス,0,2,2,1,3,5,7,58,3,-1,-1,0,1,装填速度,2,攻撃,4,聴覚保護,-1,,,,,縞模様の皮,1,暖かい毛皮,1,イーオスの鱗,5,大地の結晶,3,e
27,ケチャグリーヴ,0,1,2,0,1,3,14,102,-3,2,-2,0,2,運気,-1,水属性攻撃,1,気まぐれ,4,,,,,奇猿狐の尻尾,1,奇猿狐の長骨,2,奇猿狐の毛,2,雷光虫,2,e
28,ケチャレギンス,0,2,2,0,1,3,7,58,-2,3,-1,1,3,運気,-1,水属性攻撃,1,気まぐれ,4,,,,,奇猿狐の尻尾,1,奇猿狐の長骨,2,奇猿狐の毛,2,雷光虫,2,e
29,ゲリョスグリーヴ,0,1,2,1,1,3,14,102,-4,1,2,-2,0,スタミナ,3,腹減り,-2,毒,1,,,,,ゴム質の皮,3,大地の結晶,2,ゲネポスの皮,3,,,e
30,ゲリョスレギンス,0,2,2,1,1,3,7,58,-3,2,3,-1,1,スタミナ,3,腹減り,-2,毒,1,,,,,ゴム質の皮,3,大地の結晶,2,ゲネポスの皮,3,,,e
31,コンガグリーヴ,0,1,2,1,2,3,14,102,-3,1,1,-1,2,細菌学,2,食いしん坊,2,腹減り,-2,,,,,コンガの毛,4,徹甲虫の甲殻,2,大きな骨,1,マカライト鉱石,2,e
32,コンガレギンス,0,2,2,1,2,3,7,58,-2,2,2,0,3,細菌学,2,食いしん坊,2,腹減り,-2,,,,,コンガの毛,4,徹甲虫の甲殻,2,大きな骨,1,マカライト鉱石,2,e
33,ルドロスグリーヴ,0,1,2,1,99,3,15,103,-3,2,-1,-1,1,スタミナ,2,水属性攻撃,2,雷耐性,-1,耐暑,2,,,水獣の爪,2,ランポスの鱗,3,海綿質の皮,2,のりこねバッタ,3,e
34,ルドロスレギンス,0,2,2,1,99,3,7,58,-2,3,0,0,2,スタミナ,2,水属性攻撃,2,雷耐性,-1,耐暑,2,,,水獣の爪,2,ランポスの鱗,3,海綿質の皮,2,のりこねバッタ,3,e
35,ウルクグリーヴ,0,1,2,2,2,4,15,103,-2,2,-1,2,2,回避距離,2,耐暑,-1,耐寒,1,,,,,白兎獣の毛,2,白兎獣の腹甲,2,白兎獣の氷爪,1,のりこねバッタ,8,e
36,ウルクレギンス,0,2,2,2,2,4,8,58,-1,3,0,3,3,回避距離,2,耐暑,-1,耐寒,1,,,,,白兎獣の毛,2,白兎獣の腹甲,2,白兎獣の氷爪,1,のりこねバッタ,8,e
37,イーオスグリーヴ,0,1,2,0,3,5,15,103,0,-3,-3,2,2,胴系統倍化,1,,,,,,,,,イーオスの皮,2,イーオスの鱗,4,竜骨【小】,3,鉄鉱石,2,e
38,イーオスレギンス,0,2,2,0,3,5,8,58,1,-2,-2,3,3,胴系統倍化,1,,,,,,,,,イーオスの皮,2,イーオスの鱗,4,竜骨【小】,3,鉄鉱石,2,e
39,ガブラスーツフット,0,1,2,3,3,99,15,103,1,-2,2,1,-3,属性解放,1,属性耐性,-2,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,2,蟲のコイン,1,e
40,ガブラスーツタイツ,0,2,2,3,3,99,8,58,2,-1,3,2,-2,属性解放,1,属性耐性,-2,毒,1,,,,,縞模様の皮,5,火竜の翼膜,2,キラビートル,2,蟲のコイン,1,e
41,カブラグリーヴ,0,1,2,0,1,3,16,104,2,-3,-2,0,1,胴系統倍化,1,,,,,,,,,鬼蛙の爪,2,鬼蛙の甲殻,3,草食竜の甲殻,2,大地の結晶,3,e
42,カブラレギンス,0,2,2,0,1,3,8,58,3,-2,-1,1,2,胴系統倍化,1,,,,,,,,,鬼蛙の爪,2,鬼蛙の甲殻,3,草食竜の甲殻,2,大地の結晶,3,e
43,クックグリーヴ,0,1,2,2,1,2,16,104,2,-1,-2,-3,2,攻撃,2,聴覚保護,-2,スタミナ,1,,,,,怪鳥の耳,2,怪鳥の甲殻,2,怪鳥の翼膜,2,ランポスの皮,2,e
44,クックレギンス,0,2,2,2,1,2,8,58,3,0,-1,-2,3,攻撃,2,聴覚保護,-2,スタミナ,1,,,,,怪鳥の耳,2,怪鳥の甲殻,2,怪鳥の翼膜,2,ランポスの皮,2,e
45,Ｋ・ロブスタグリーヴ,0,1,4,1,99,4,16,104,-2,5,-5,2,-2,回避性能,1,回避距離,4,火耐性,-3,,,,,エビの小殻,1,エビの尾扇,1,化け鮫のヒレ,1,マカライト鉱石,3,e
46,Ｋ・ロブスタレギンス,0,2,4,1,99,4,8,58,-1,6,-4,3,-1,回避性能,1,回避距離,4,火耐性,-3,,,,,エビの小殻,1,エビの尾扇,1,化け鮫のヒレ,1,マカライト鉱石,3,e
47,ボロスグリーヴ,0,1,2,1,99,4,18,106,4,-4,1,-2,0,攻撃,3,防御,2,ガード性能,1,腹減り,-2,,,土砂竜の甲殻,2,竜骨【大】,2,草食竜の甲殻,3,,,e
48,ボロスレギンス,0,2,2,1,99,4,8,58,5,-3,2,-1,1,攻撃,3,防御,2,精密射撃,1,腹減り,-2,,,土砂竜の甲殻,2,竜骨【大】,2,草食竜の甲殻,3,,,e
49,インゴットグリーヴ,0,1,3,1,3,5,18,106,-2,-2,2,0,0,ガード強化,3,納刀,1,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,2,ドラグライト鉱石,2,大地の結晶,5,ライトクリスタル,1,e
50,インゴットレギンス,0,2,3,1,3,5,8,58,-1,-1,3,1,1,反動,1,散弾強化,3,雷属性攻撃,2,気まぐれ,-2,,,紅蓮石,2,ドラグライト鉱石,2,大地の結晶,5,ライトクリスタル,1,e
51,バサルグリーヴ,0,1,2,1,2,3,18,106,0,-2,1,1,-3,耐暑,3,毒,2,麻痺,-1,睡眠,2,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,ゲネポスの皮,5,e
52,バサルレギンス,0,2,2,1,2,3,9,59,1,-1,2,2,-2,耐暑,3,毒,2,麻痺,-1,睡眠,2,,,岩竜の甲殻,3,マカライト鉱石,5,毒袋,3,ゲネポスの皮,5,e
53,ガーディアンブーツ,1,1,4,2,2,99,18,106,0,0,0,0,0,採取,-2,運気,1,砲術,3,加護,2,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,,e
54,ガーディアンフット,1,2,4,2,2,99,9,59,1,1,1,1,1,採取,-2,運気,1,広域,2,加護,2,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,,e
55,ヘルパーソックス,2,1,4,2,2,99,18,106,0,0,0,0,0,採取,-2,運気,1,砲術,3,加護,2,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,,e
56,ヘルパータイツ,2,2,4,2,2,99,9,59,1,1,1,1,1,採取,-2,運気,1,広域,2,加護,2,,,ドラグライト鉱石,2,闘技王のコイン,3,鳥竜のコイン,3,,,e
57,ロワーガガンバ,1,1,4,2,3,5,18,106,-4,0,3,-1,1,剣術,1,聴覚保護,5,龍属性攻撃,2,加護,-1,ハチミツ,3,オオクワアゲハ,1,レビテライト鉱石,2,モンスターの体液,3,ツチハチノコ,10,e
58,ロワーガフェムル,1,2,4,2,3,5,9,59,-3,1,4,0,2,速射,1,聴覚保護,5,龍属性攻撃,2,加護,-1,ハチミツ,3,オオクワアゲハ,1,レビテライト鉱石,2,モンスターの体液,3,ツチハチノコ,10,e
59,ファルメルガンバ,2,1,4,2,3,5,18,106,-4,0,3,-1,1,剣術,1,聴覚保護,5,龍属性攻撃,2,加護,-1,ハチミツ,3,オオクワアゲハ,1,レビテライト鉱石,2,モンスターの体液,3,ツチハチノコ,10,e
60,ファルメルフェムル,2,2,4,2,3,5,9,59,-3,1,4,0,2,速射,1,聴覚保護,5,龍属性攻撃,2,加護,-1,ハチミツ,3,オオクワアゲハ,1,レビテライト鉱石,2,モンスターの体液,3,ツチハチノコ,10,e
61,マギュルライース,0,1,4,0,4,99,19,107,-4,1,0,2,0,属性解放,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,1,ペピポパンプキン,4,ドスヘラクレス,8,はじけクルミ,10,雷光虫,4,e
62,マギュルヴルツェル,0,2,4,0,4,99,9,59,-3,2,1,3,1,属性解放,2,溜め短縮,3,調合成功率,1,調合数,2,回復速度,1,ペピポパンプキン,4,ドスヘラクレス,8,はじけクルミ,10,雷光虫,4,e
63,スキュラグリーヴ,0,1,2,2,2,4,19,107,-2,2,-2,1,2,観察眼,2,腹減り,-2,高速設置,1,睡眠,2,,,影蜘蛛の甲殻,3,睡眠袋,1,ゴム質の皮,2,とがった牙,4,e
64,スキュラレギンス,0,2,2,2,2,4,9,59,-1,3,-1,2,3,観察眼,2,腹減り,-2,高速設置,1,睡眠,2,,,影蜘蛛の甲殻,3,睡眠袋,1,ゴム質の皮,2,とがった牙,4,e
65,フルフルグリーヴ,0,1,2,1,2,4,19,107,-4,1,1,2,1,雷属性攻撃,3,回復量,3,気絶,-2,,,,,ブヨブヨした皮,2,マカライト鉱石,2,肉厚な皮,3,,,e
66,フルフルレギンス,0,2,2,1,2,4,10,60,-3,2,2,3,2,雷属性攻撃,3,回復量,3,気絶,-2,,,,,ブヨブヨした皮,2,マカライト鉱石,2,肉厚な皮,3,,,e
67,レイアグリーヴ,0,1,2,2,2,4,19,107,2,0,-2,0,-3,体力,2,火属性攻撃,1,回復速度,-2,,,,,雌火竜の甲殻,3,雌火竜の鱗,4,竜骨【大】,3,ライトクリスタル,1,e
68,レイアレギンス,0,2,2,2,2,4,10,60,3,1,-1,1,-2,体力,2,火属性攻撃,1,回復速度,-2,,,,,雌火竜の甲殻,3,雌火竜の鱗,4,竜骨【大】,3,ライトクリスタル,1,e
69,アーティアグリーヴ,0,1,3,1,3,5,20,108,0,-3,-3,1,2,ガード強化,4,研ぎ師,-2,気力回復,4,,,,,さびた破片,5,紅蓮石,2,マカライト鉱石,8,,,e
70,アーティアレギンス,0,2,3,1,3,5,10,60,1,-2,-2,2,3,装填速度,-2,反動,5,精密射撃,4,,,,,さびた破片,5,紅蓮石,2,マカライト鉱石,8,,,e
71,ザボアグリーヴ,0,1,2,1,2,4,20,108,-2,2,-3,2,0,体力,3,氷属性攻撃,2,肉食,1,腹減り,-2,,,化け鮫の鱗,2,化け鮫の皮,4,化け鮫のヒレ,1,鮫肌の鱗,2,e
72,ザボアレギンス,0,2,2,1,2,4,10,60,-1,3,-2,3,1,体力,3,氷属性攻撃,2,肉食,1,腹減り,-2,,,化け鮫の鱗,2,化け鮫の皮,4,化け鮫のヒレ,1,鮫肌の鱗,2,e
73,ガララグリーヴ,0,1,2,1,2,4,20,108,1,-2,0,-4,1,捕獲,3,聴覚保護,1,気まぐれ,-2,麻痺,2,,,絞蛇竜の皮,3,絞蛇竜の甲殻,3,絞蛇竜の牙,3,垂皮竜の皮,3,e
74,ガララレギンス,0,2,2,1,2,4,10,60,2,-1,1,-3,2,捕獲,3,聴覚保護,1,気まぐれ,-2,麻痺,2,,,絞蛇竜の皮,3,絞蛇竜の甲殻,3,絞蛇竜の牙,3,垂皮竜の皮,3,e
75,ガノスグリーヴ,0,1,4,2,99,4,20,108,-4,3,-5,2,2,捕獲,2,スタミナ,4,耐暑,2,高速設置,2,,,水竜の鱗,1,水竜のヒレ,2,ライトクリスタル,2,,,e
76,ガノスレギンス,0,2,4,1,99,4,10,60,-3,4,-4,3,3,捕獲,2,スタミナ,4,耐暑,2,高速設置,2,,,水竜の鱗,1,水竜のヒレ,2,ライトクリスタル,2,,,e
77,ギルドバードブーツ,1,1,4,0,3,99,20,108,0,0,0,0,0,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3,e
78,ギルドバードフット,1,2,4,0,3,99,10,60,1,1,1,1,1,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3,e
79,スカラーソックス,2,1,4,0,3,99,20,108,0,0,0,0,0,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3,e
80,スカラーサンダル,2,2,4,0,3,99,10,60,1,1,1,1,1,胴系統倍化,1,,,,,,,,,レビテライト鉱石,1,蟲のコイン,2,鳥竜のコイン,3,闘技王のコイン,3,e
81,ジンオウグリーヴ,0,1,3,2,3,5,21,109,0,-2,2,-4,1,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3,e
82,ジンオウレギンス,0,2,3,0,3,5,10,60,1,-1,3,-3,2,本気,1,雷属性攻撃,3,気配,-2,,,,,雷狼竜の蓄電殻,3,雷狼竜の甲殻,3,雷狼竜の爪,3,超電雷光虫,3,e
83,セルタスグリーヴ,0,1,3,1,3,5,21,109,-3,2,-1,-2,2,捕獲,3,砲術,1,斬れ味,2,気力回復,-2,,,重甲虫の爪,2,重甲虫の胸殻,4,重甲エキス,1,とがった牙,4,e
84,セルタスレギンス,0,2,3,1,3,5,10,60,-2,3,0,-1,3,砲術,1,装填数,3,榴弾追加,2,気力回復,-2,,,重甲虫の爪,2,重甲虫の胸殻,4,重甲エキス,1,とがった牙,4,e
85,ハプルグリーヴ,0,1,2,0,99,5,21,109,2,0,-2,-4,1,納刀,3,食事,3,,,,,,,潜口竜の皮,3,モンスターの体液,3,草食竜の甲殻,3,,,e
86,ハプルレギンス,0,2,2,0,99,5,10,60,3,1,-1,-3,2,納刀,3,食事,3,,,,,,,潜口竜の皮,3,モンスターの体液,3,草食竜の甲殻,3,,,e
87,ギザミグリーヴ,0,1,2,2,99,5,21,109,1,2,-1,-1,0,斬れ味,4,研ぎ師,2,,,,,,,鎌蟹の甲殻,2,マカライト鉱石,3,キラビートル,1,,,e
88,ギザミレギンス,0,2,2,1,99,5,10,60,2,3,0,0,1,防御,-1,貫通弾強化,2,貫通弾追加,1,精密射撃,1,,,鎌蟹の甲殻,2,マカライト鉱石,3,キラビートル,1,,,e
89,ゴアグリーヴ,0,1,3,2,3,5,21,109,-4,2,-3,1,-2,細菌学,1,闘魂,3,火耐性,-3,,,,,黒蝕竜の甲殻,3,黒蝕竜の鱗,1,黒蝕竜の逆鱗,1,翼蛇竜の皮,5,e
90,ゴアレギンス,0,2,3,2,3,5,11,61,-3,3,-2,2,-1,細菌学,1,闘魂,3,火耐性,-3,,,,,黒蝕竜の甲殻,3,黒蝕竜の鱗,1,黒蝕竜の逆鱗,1,翼蛇竜の皮,5,e
91,レックスグリーヴ,0,1,3,2,3,5,22,110,2,-1,-4,0,-2,攻撃,2,研ぎ師,-2,食いしん坊,2,,,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3,e
92,レックスレギンス,0,2,3,2,3,5,11,61,3,0,-3,1,-1,反動,-2,攻撃,2,食いしん坊,2,,,,,轟竜の鱗,4,轟竜の爪,5,轟竜の甲殻,3,狗竜の皮,3,e
93,ブラキグリーヴ,0,1,3,1,3,6,22,110,2,-4,0,-2,0,闘魂,2,回避性能,-2,爆弾強化,3,,,,,砕竜の甲殻,4,なぞの粘菌,2,砕竜の拳,2,ドラグライト鉱石,5,e
94,ブラキレギンス,0,2,3,1,3,6,11,61,3,-3,1,-1,1,闘魂,1,回避性能,-2,爆弾強化,2,,,,,砕竜の甲殻,4,なぞの粘菌,2,砕竜の拳,2,ドラグライト鉱石,5,e
95,ナルガグリーヴ,0,1,3,0,5,99,22,110,-2,1,-4,1,1,痛撃,2,回避性能,4,スタミナ,-2,回避距離,3,,,迅竜の黒毛,2,迅竜の骨髄,1,竜玉,1,,,e
96,ナルガレギンス,0,2,3,0,5,99,11,61,-1,2,-3,2,2,痛撃,2,回避性能,4,スタミナ,-2,回避距離,3,,,迅竜の黒毛,2,迅竜の骨髄,1,竜玉,1,,,e
97,グラビドグリーヴ,0,1,3,1,3,5,23,111,2,-3,0,1,-2,防御,3,ガード性能,2,スタミナ,-2,,,,,鎧竜の甲殻,5,火炎袋,3,上竜骨,2,ドスイーオスの皮,2,e
98,グラビドレギンス,0,2,3,1,3,5,12,62,3,-2,1,2,-1,反動,2,防御,3,スタミナ,-2,,,,,鎧竜の甲殻,5,火炎袋,3,上竜骨,2,ドスイーオスの皮,2,e
99,レウスグリーヴ,0,1,3,1,3,5,23,111,2,0,-2,0,-3,攻撃,3,火属性攻撃,1,回復量,-2,,,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ドラグライト鉱石,3,e
100,レウスレギンス,0,2,3,1,3,5,12,62,3,1,-1,1,-2,攻撃,3,火属性攻撃,1,回復量,-2,,,,,火竜の甲殻,3,火竜の鱗,4,火炎袋,2,ドラグライト鉱石,3,e
101,ラヴァグリーヴ,0,1,3,2,99,6,23,111,2,-3,0,0,1,ガード性能,2,回復速度,3,気配,-2,,,,,溶岩竜の鱗,3,溶岩竜のヒレ,1,イーオスの皮,5,,,e
102,ラヴァレギンス,0,2,3,2,99,6,12,62,3,-2,1,1,2,反動,2,回復速度,3,気配,-2,,,,,溶岩竜の鱗,3,溶岩竜のヒレ,1,イーオスの皮,5,,,e
103,ディアブログリーヴ,0,1,3,3,99,6,23,111,2,0,0,-4,0,剣術,3,研ぎ師,-2,納刀,1,耐震,1,,,角竜の甲殻,3,上竜骨,3,草食竜の甲殻,3,,,e
104,ディアブロレギンス,0,2,3,3,99,6,12,62,3,1,1,-3,1,納刀,1,根性,3,貫通弾強化,2,精密射撃,-2,,,角竜の甲殻,3,上竜骨,3,草食竜の甲殻,3,,,e
105,ガルルガグリーヴ,0,1,3,2,3,5,24,112,1,-3,1,-2,0,達人,4,聴覚保護,1,,,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,のりこねバッタ,4,ドスゲネポスの皮,2,e
106,ガルルガレギンス,0,2,3,2,3,5,12,62,2,-2,2,-1,1,達人,4,聴覚保護,1,,,,,,,黒狼鳥の鱗,5,黒狼鳥の甲殻,4,のりこねバッタ,4,ドスゲネポスの皮,2,e
107,ガンキングリーヴ,0,1,3,0,99,5,24,112,2,-4,1,-1,-2,胴系統倍化,1,,,,,,,,,爆鎚竜の耐熱殻,2,盾虫の甲殻,4,火炎袋,3,,,e
108,ガンキンレギンス,0,2,3,0,99,5,12,62,3,-3,2,0,-1,胴系統倍化,1,,,,,,,,,爆鎚竜の耐熱殻,2,盾虫の甲殻,4,火炎袋,3,,,e
109,ドボルグリーヴ,0,1,3,1,99,6,24,112,-4,2,1,-2,1,攻撃,1,達人,-1,回復速度,3,,,,,尾槌竜の苔甲,4,大きな骨,5,暖かい毛皮,4,,,e
110,ドボルレギンス,0,2,3,1,99,6,12,62,-3,3,2,-1,2,攻撃,1,達人,-1,回復速度,3,,,,,尾槌竜の苔甲,4,大きな骨,5,暖かい毛皮,4,,,e
111,アークグリーヴ,1,1,3,2,7,6,24,112,-3,3,0,1,-5,匠,3,本気,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4,e
112,アークレギンス,1,2,3,2,7,6,12,62,-2,4,1,2,-4,本気,3,装填数,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4,e
113,フィリアグリーヴ,2,1,3,2,7,6,24,112,-3,3,0,1,-5,匠,3,本気,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4,e
114,フィリアレギンス,2,2,3,2,7,6,12,62,-2,4,1,2,-4,本気,3,装填数,3,火耐性,-3,狂撃耐性,1,,,天廻龍の甲殻,3,天廻龍の鱗,1,天廻龍の逆鱗,1,上竜骨,4,e
115,残陽【具足】,1,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,3,達人,4,底力,-3,スタミナ,1,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3,e
116,東雲【袴】,1,2,3,0,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,3,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3,e
117,常磐【具足】,2,1,3,0,4,6,26,112,2,1,-3,2,-3,抜刀減気,3,達人,4,底力,-3,スタミナ,1,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3,e
118,八千代【袴】,2,2,3,0,4,6,13,62,3,2,-2,3,-2,装填速度,-3,スタミナ,2,無傷,3,貫通弾強化,3,,,豪山龍の紅鱗,5,豪山龍の甲岩殻,6,ドラグライト鉱石,5,豪龍岩,3,e
119,キリンレガース,0,1,3,2,3,6,26,112,-2,-2,4,0,2,属性耐性,1,運気,-2,属性攻撃,3,,,,,キリンの皮,7,キリンの雷角,1,怪鳥の鱗,5,電気袋,3,e
120,キリンブーツ,0,2,3,2,3,6,13,62,-1,-1,5,1,3,属性耐性,1,運気,-2,属性攻撃,3,,,,,キリンの皮,7,キリンの雷角,1,怪鳥の鱗,5,電気袋,3,e
121,暁丸【具足】,1,1,3,2,99,6,26,112,-2,2,0,2,-4,剣術,2,スタミナ,-1,重撃,3,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,,e
122,曙丸【具足】,1,2,3,1,99,6,13,62,-1,3,1,3,-3,スタミナ,-1,重撃,3,装填数,2,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,,e
123,凛【袴】,2,1,3,2,99,6,26,112,-2,2,0,2,-4,剣術,2,スタミナ,-1,重撃,3,加護,2,,,老山龍の大爪,3,老山龍の甲殻,5,雌火竜の棘,2,,,e
